accession,ecd_length,radius_of_gyration,mean_plddt_ecd,membrane_proximal_plddt,sasa_normalized,largest_patch_fraction,persisted_score
O00478,219.0,0.11354865073117042,76.46089751426487,69.42451910539107,56.02922634458504,0.44459472437872116,0.2451806345817099
O60245,851.0,0.11674328362579828,75.43573839333867,70.01966726332203,61.095507813178806,0.8677806768386074,0.23192104544029227
O60637,106.0,0.1332645267919655,73.18748859864361,73.16652867529127,71.0357623822862,0.9133247186228718,0.2117894187276375
O75581,1351.0,0.031184144515250572,72.53287325383644,65.98688820762747,44.43794003706158,0.3953919326417542,0.2814155751214844
O75841,122.0,0.11979779035909602,62.881478703901415,69.72215396742666,67.5498881860907,0.7041784619008541,0.21417084746627724
O75954,97.0,0.13695686794893108,75.20959918031987,71.65796422958374,70.40105771024155,0.901682046862925,0.20958114677221357
O95832,53.0,0.25651147516737294,50.65004752492005,51.77064431565149,90.1579156385149,0.9639844087931492,0.14054269516101298
O95858,121.0,0.11997694443136452,75.65453481083074,72.83604318095792,67.09185079101671,0.9103409387471171,0.21491273575405861
P00533,621.0,0.05417656562762764,73.56879574857088,73.2605731066985,52.221938965154145,0.3180902614062037,0.2823610149077623
P04626,630.0,0.05446700584864653,73.9361088900339,69.83534065605718,52.98493336553948,0.36870764315055576,0.2686516248416642
P06213,731.0,0.05189490366940927,74.08078988420327,58.22463496460941,64.17002955113145,0.8781081886828593,0.2023720265678787
P07333,498.0,0.09353172606883202,74.18418502113427,69.02324988842011,60.81645525582998,0.8842702418756095,0.22002436136349918
P08195,425.0,0.05086774494958519,72.9363160203485,72.53401878281174,44.06427089609694,0.8347582075665437,0.2379888215898329
P09619,500.0,0.09577032790802946,70.77800446748734,69.37676045894622,61.74925712909397,0.8576079018742059,0.22052652244556342
P09693,94.0,0.13609962516699048,53.04576298023792,48.21427377561728,75.15418906998711,0.9124060469938983,0.14807193850607409
P13591,699.0,0.09801895939134318,76.80609197021383,75.58036882536751,59.07867991092586,0.37146222507708965,0.28315257106476893
P17948,732.0,0.09241978367506,69.18529641147846,70.34764659535038,61.53728357424412,0.7159209305647745,0.23862683580953087
P18084,696.0,0.06004708874938805,66.68331920672422,59.701752337231035,54.3366908641069,0.568825407097122,0.22359204391060183
P19397,75.0,0.16062242438917362,76.2462883790334,72.28239586478786,75.20682092441628,0.4929381830717285,0.23566980795940107
P22607,353.0,0.0881966023040773,71.11675517248365,70.30432763394344,69.49274425906982,0.9080169086954417,0.21429435671940297
P37088,456.0,0.06227891460944621,69.80760061557879,75.81288338753215,62.94913542330501,0.757212007365386,0.24497699795848996
P42081,224.0,0.12399919594867473,72.32358636600631,66.15936995616981,62.61138692908055,0.8732628107523522,0.20300356187016275
P49961,441.0,0.054306414151903765,76.79225174950905,75.29445591273608,53.240270664814226,0.45054955213993436,0.27398998613364733
P50281,430.0,0.06304945437323403,70.91468925392905,75.91349018944635,58.81574305373562,0.8411620500206871,0.24022905677809417
P51810,28.0,0.6036780916270977,52.81547339899199,55.626581396375386,132.07106094910463,1.0,0.12011414316990714
P54764,528.0,0.11093059938919228,74.67670301257661,73.09174528627685,57.219165824308575,0.44096229263844633,0.26342135369121383
P55064,18.0,0.6947797286767403,54.09495929876963,55.62139391899109,124.38219510495972,1.0,0.11727622341700751
P55287,564.0,0.12218185638767838,72.77257671804293,66.77629068388161,57.41304455500137,0.8207761363134605,0.21834905629323806
P78504,1034.0,0.04996143251894187,68.16607467268145,61.310689628814636,67.8654322394146,0.5231762509421009,0.2379652650802177
P78536,457.0,0.05249980535912339,72.78462980325686,68.00285378228064,56.341264546005455,0.348921884022716,0.2582628720232877
Q04721,1652.0,0.037928124287785143,57.89064512234046,52.51893416299658,67.25328560988177,0.8305025719467556,0.2070031043942937
Q05586,541.0,0.06276018088033233,70.6229219430035,68.01612854880445,57.195422063889076,0.8727566344113173,0.22093306032362856
Q12866,485.0,0.11480346149341138,72.70738232996045,74.08778313242021,70.21245558189446,0.47028481597995553,0.2572434976822538
Q13433,297.0,0.11245619388668288,56.8606846260302,56.37805036703745,117.9429736604377,0.9870508458694895,0.15786046980123594
Q14CZ8,207.0,0.12391076520109935,75.8413904387018,78.39588740697273,58.64635345601265,0.8331960191971765,0.23890120447254468
Q16819,647.0,0.04040990544688926,64.53108946451633,43.47639204359349,53.44546121007807,0.7673568130832782,0.17316456145785786
Q3KNW5,29.0,0.5432634429791796,54.06490163556461,61.089734733104706,120.92583446645477,1.0,0.13444360829808577
Q53GD3,174.0,0.09663989834043418,65.61494303503255,51.49439051747322,62.315929453541976,0.6296004279880502,0.18221434626954938
Q5BKX6,13.0,0.7587988276191461,67.51996508011452,64.56313133239746,133.79362468253984,1.0,0.1310604994372158
Q5VUB5,282.0,0.07715836516793792,81.3953569172122,77.82794413432269,60.250123712813206,0.31997513572451663,0.285348446546135
Q5ZPR3,438.0,0.11957589176540143,74.49675575919348,74.40349887717854,57.83781051787738,0.8815512190737222,0.23123348427710114
Q6PJG9,502.0,0.06808317708868211,74.65879044447287,66.2315772875907,58.52943115779787,0.8648256701705055,0.21733250701070247
Q6UXK5,606.0,0.05395871282305951,74.15768414637436,64.40287014763607,51.08422696567088,0.8204677978382626,0.22134826758024181
Q8IYL9,21.0,0.6649812334239537,54.70856328805288,55.761713782946266,141.68464228663044,1.0,0.1162981817022205
Q8ND94,172.0,0.1319911986164749,57.52167369910451,55.22485195204269,76.00119799785756,0.920665037313343,0.16459822806946495
Q8TDU6,21.0,0.572542920996491,62.15969636326744,62.920355796813965,109.9279908396695,1.0,0.14091748520953895
Q96NY8,318.0,0.12551153245678212,77.26334929466248,79.50208470225334,60.090733073260616,0.5617720147228216,0.2654887499609416
Q99523,678.0,0.039729694370214466,69.65133230858495,58.80023521535537,50.26433797406411,0.611979104110927,0.2222173081617525
Q99650,713.0,0.07671295914907074,65.99752343720841,65.22268153435691,57.75872946495392,0.8462347841309154,0.2165777795922678
Q99835,202.0,0.11920453462400109,76.45549635485847,68.13574865752575,68.13718581685535,0.908943409135171,0.2058671567668133
Q9BTN0,523.0,0.060140832384203834,75.88096894679973,68.9625377190932,61.98322641913349,0.5231295815350085,0.24933326990695764
Q9BXP2,253.0,0.08385752015168917,70.24755239957878,61.8530610576272,74.8609712829006,0.6641754164935436,0.20562911961822833
Q9BY67,330.0,0.12561335709919239,77.29532038623637,74.88193985927536,67.77722521240787,0.6509231886193669,0.24408896501229455
Q9GZU1,212.0,0.0999588279389582,61.53812624935834,60.094322629694666,69.4493719395206,0.49825163229136527,0.20686427879911803
Q9H5V8,638.0,0.06504175831457766,74.84895238962294,72.82955378293991,54.55840080139451,0.40195626348091856,0.27406027252290993
Q9NRM0,35.0,0.35925742380698716,50.489629932812285,52.158487836519875,123.70922027646455,1.0,0.12753760600071257
