gene_symbol,uniprot,accession_count,main_location,additional_location,if_reliability
CD27,P26842,1,,,
CD274,Q9NZQ7,1,"Plasma membrane, Actin filaments",Nucleoplasm,Approved
CD276,Q5ZPR3,1,Vesicles,,Approved
CD28,P10747,1,,,
CD2AP,Q9Y5K6,1,Plasma membrane,Centriolar satellite,Supported
CD2BP2,O95400,1,Nuclear speckles,Cytosol,Enhanced
CD300A,Q9UGN4,1,Plasma membrane,"Vesicles, Cytosol",Approved
CD300C,Q08708,1,Golgi apparatus,"Vesicles, Mitochondria",Uncertain
CD300E,Q496F6,1,,,
CD300LB,A8K4G0,1,Plasma membrane,,Approved
CD300LD,Q6UXZ3,1,,,
CD300LF,Q8TDQ1,1,,,
CD300LG,Q6UXG3,1,,,
CD302,Q8IX05,1,,,
CD320,Q9NPF0,1,Cytosol,,Approved
CD33,P20138,1,"Nucleoplasm, Plasma membrane",,Approved
CD34,P28906,1,"Plasma membrane, Cell Junctions",Nucleoplasm,Approved
CD36,P16671,1,Golgi apparatus,,Enhanced
CD37,P11049,1,Golgi apparatus,Plasma membrane,Approved
CD38,P28907,1,Plasma membrane,,Supported
CD3D,P04234,1,Endoplasmic reticulum,,Uncertain
CD3E,P07766,1,"Endoplasmic reticulum, Plasma membrane",Golgi apparatus,Supported
CD3G,P09693,1,"Plasma membrane, Cytosol",,Supported
CD4,P01730,1,Plasma membrane,,Supported
CD40,P25942,1,,,
CD40LG,P29965,1,"Golgi apparatus, Plasma membrane",,Approved
CD44,P16070,1,Plasma membrane,Golgi apparatus,Supported
CD46,P15529,1,Plasma membrane,,Approved
CD47,Q08722,1,Plasma membrane,Vesicles,Supported
CD48,P09326,1,Plasma membrane,"Nucleoli fibrillar center, Cytosol",Approved
CD5,P06127,1,,,
CD52,P31358,1,,,
CD53,P19397,1,,,
CD55,P08174,1,,,
CD58,P19256,1,,,
CD59,P13987,1,"Golgi apparatus, Vesicles",,Uncertain
CD5L,O43866,1,,,
CD6,P30203,1,,,
CD63,P08962,1,Vesicles,,Supported
CD68,P34810,1,"Golgi apparatus, Vesicles",,Supported
CD69,Q07108,1,,,
CD7,P09564,1,,,
CD70,P32970,1,Nucleoplasm,,Uncertain
CD72,P21854,1,"Nucleoplasm, Mitochondria",,Approved
CD74,P04233,1,Golgi apparatus,,Supported
CD79A,P11912,1,,,
CD79B,P40259,1,Plasma membrane,"Nucleoplasm, Cytosol",Supported
CD80,P33681,1,,,
CD81,P60033,1,Plasma membrane,Cytosol,Supported
CD82,P27701,1,Vesicles,,Uncertain
CD83,Q01151,1,Vesicles,Golgi apparatus,Approved
CD84,Q9UIB8,1,Plasma membrane,Vesicles,Enhanced
CD86,P42081,1,Plasma membrane,Centriolar satellite,Supported
CD8A,P01732,1,Plasma membrane,,Supported
CD8B,P10966,1,Plasma membrane,,Supported
CD8B2,A6NJW9,1,,,
CD9,P21926,1,Plasma membrane,,Supported
CD93,Q9NPY3,1,"Vesicles, Plasma membrane",,Approved
CD96,P40200,1,,,
CD99,P14209,1,Golgi apparatus,,Approved
CD99L2,Q8TCZ2,1,Plasma membrane,,Supported
CDA,P32320,1,Nucleoplasm,,Approved
CDADC1,Q9BWV3,1,Nucleoplasm,,Approved
CDAN1,Q8IWY9,1,Cytosol,Plasma membrane,Enhanced
CDC123,O75794,1,"Nucleoplasm, Golgi apparatus",Cytosol,Approved
CDC14A,Q9UNH5,1,Nucleoplasm,"Nuclear bodies, Cytosol",Supported
CDC14B,O60729,1,Nucleoplasm,,Supported
CDC14C,A4D256,1,Nucleoplasm,,Uncertain
CDC16,Q13042,1,,,
CDC20,Q12834,1,"Nucleoplasm, Cytosol",,Enhanced
CDC20B,Q86Y33,1,,,
CDC23,Q9UJX2,1,,,
CDC25A,P30304,1,Nucleoplasm,Golgi apparatus,Approved
CDC25B,P30305,1,Vesicles,Mitotic spindle,Uncertain
CDC25C,P30307,1,Nuclear speckles,,Supported
CDC26,Q8NHZ8,1,Nucleoplasm,,Approved
CDC27,P30260,1,Nucleoplasm,,Enhanced
CDC34,P49427,1,"Nucleoplasm, Nuclear speckles",Cytosol,Supported
CDC37,Q16543,1,Cytosol,,Supported
CDC37L1,Q7L3B6,1,Cytosol,,Supported
CDC40,O60508,1,Nucleoplasm,,Supported
CDC42,P60953,1,"Microtubules, Cytokinetic bridge",,Supported
CDC42BPA,Q5VT25,1,"Plasma membrane, Cytosol",,Approved
CDC42BPB,Q9Y5S2,1,,,
CDC42BPG,Q6DT37,1,Cytosol,,Supported
CDC42EP1,Q00587,1,Plasma membrane,"Nucleoplasm, Actin filaments",Supported
CDC42EP2,O14613,1,"Microtubules, Cytosol",,Supported
CDC42EP3,Q9UKI2,1,"Plasma membrane, Actin filaments",,Supported
CDC42EP4,Q9H3Q1,1,"Actin filaments, Microtubules",Plasma membrane,Supported
CDC42EP5,Q6NZY7,1,,,
CDC42SE1,Q9NRR8,1,Cell Junctions,,Supported
CDC42SE2,Q9NRR3,1,,,
CDC45,O75419,1,Nucleoplasm,"Centrosome, Cytosol",Supported
CDC5L,Q99459,1,Nucleoplasm,,Supported
CDC6,Q99741,1,"Nucleoplasm, Cytosol","Cytokinetic bridge, Mitotic spindle",Approved
CDC7,O00311,1,Nucleoplasm,"Cytokinetic bridge, Mitotic spindle",Supported
CDC73,Q6P1J9,1,Nucleoplasm,Cytosol,Supported
CDCA2,Q69YH5,1,Nucleoplasm,,Supported
CDCA3,Q99618,1,Cytosol,,Approved
CDCA4,Q9BXL8,1,Nucleoplasm,"Plasma membrane, Cytosol",Supported
CDCA5,Q96FF9,1,Nucleoplasm,,Enhanced
CDCA7,Q9BWT1,1,"Nucleoplasm, Cytosol",,Supported
CDCA7L,Q96GN5,1,"Nucleoplasm, Nucleoli","Nucleoli fibrillar center, Cytosol",Supported
CDCA8,Q53HL2,1,Nucleoli,"Nucleoplasm, Cytokinetic bridge",Supported
CDCP1,Q9H5V8,1,,,
CDCP2,Q5VXM1,1,,,
CDH1,P12830,1,"Plasma membrane, Cell Junctions",Golgi apparatus,Supported
CDH10,Q9Y6N8,1,Cell Junctions,Nucleoplasm,Approved
CDH11,P55287,1,,,
CDH12,P55289,1,Vesicles,,Uncertain
CDH13,P55290,1,Plasma membrane,,Supported
CDH15,P55291,1,"Golgi apparatus, Plasma membrane",,Enhanced
CDH16,O75309,1,,,
CDH17,Q12864,1,Cell Junctions,Nucleoplasm,Supported
CDH18,Q13634,1,,,
CDH19,Q9H159,1,,,
CDH2,P19022,1,Plasma membrane,Cell Junctions,Supported
CDH20,Q9HBT6,1,,,
CDH22,Q9UJ99,1,,,
CDH23,Q9H251,1,,,
CDH24,Q86UP0,1,Cytosol,Vesicles,Approved
CDH26,Q8IXH8,1,Plasma membrane,Microtubules,Supported
CDH3,P22223,1,Plasma membrane,Cell Junctions,Supported
CDH4,P55283,1,Plasma membrane,,Supported
CDH5,P33151,1,Plasma membrane,"Nucleoplasm, Nuclear membrane",Supported
CDH6,P55285,1,"Plasma membrane, Cell Junctions",,Supported
CDH7,Q9ULB5,1,,,
CDH8,P55286,1,Plasma membrane,,Approved
CDH9,Q9ULB4,1,Golgi apparatus,,Approved
CDHR1,Q96JP9,1,Golgi apparatus,,Approved
CDHR2,Q9BYE9,1,,,
CDHR3,Q6ZTQ4,1,,,
CDHR4,A6H8M9,1,,,
CDHR5,Q9HBB8,1,,,
CDIN1,Q9Y2V0,1,Nucleoplasm,,Approved
CDIP1,Q9H305,1,Centrosome,Nucleoplasm,Supported
CDIPT,O14735,1,"Nucleoplasm, Nuclear membrane, Plasma membrane",,Approved
CDK1,P06493,1,"Nucleoplasm, Cytosol",,Supported
CDK10,Q15131,1,"Nucleoplasm, Midbody, Midbody ring",,Uncertain
CDK11A,Q9UQ88,1,Nuclear speckles,Cytosol,Supported
CDK11B,P21127,1,Nuclear speckles,,Approved
CDK12,Q9NYV4,1,"Nucleoplasm, Nuclear speckles",,Enhanced
CDK13,Q14004,1,Nuclear speckles,"Golgi apparatus, Cytosol",Supported
CDK14,O94921,1,"Nucleoplasm, Cytosol",,Supported
CDK15,Q96Q40,1,Nucleoplasm,Golgi apparatus,Approved
CDK16,Q00536,1,"Microtubules, Cytosol",Plasma membrane,Approved
CDK17,Q00537,1,"Nucleoplasm, Cytosol",,Approved
CDK18,Q07002,1,Actin filaments,,Approved
CDK19,Q9BWU1,1,Cytosol,Nucleoplasm,Supported
CDK2,P24941,1,Nucleoplasm,"Centrosome, Cytosol",Enhanced
CDK20,Q8IZL9,1,Nucleoplasm,,Supported
CDK2AP1,O14519,1,Nucleoplasm,,Supported
CDK2AP2,O75956,1,Nucleoplasm,,Approved
CDK3,Q00526,1,Cytosol,,Approved
CDK4,P11802,1,Cytosol,"Nucleoplasm, Nuclear membrane, Nucleoli",Supported
CDK5,Q00535,1,"Nucleoplasm, Plasma membrane",Cell Junctions,Supported
CDK5R1,Q15078,1,"Nucleoplasm, Vesicles",,Approved
CDK5R2,Q13319,1,,,
CDK5RAP1,Q96SZ6,1,Mitochondria,"Nucleoplasm, Cytosol",Supported
CDK5RAP2,Q96SN8,1,Centrosome,Cell Junctions,Enhanced
CDK5RAP3,Q96JB5,1,Cytosol,"Nucleoli, Vesicles",Supported
CDK6,Q00534,1,Nucleoplasm,Cytosol,Supported
CDK7,P50613,1,Nucleoplasm,"Nucleoli fibrillar center, Plasma membrane, Cytosol",Supported
CDK8,P49336,1,Nucleoplasm,,Approved
CDK9,P50750,1,Nucleoplasm,Cytoplasmic bodies,Approved
CDKAL1,Q5VV42,1,,,
CDKL1,Q00532,1,Nucleoplasm,Vesicles,Enhanced
CDKL2,Q92772,1,"Nucleoplasm, Centrosome",,Approved
CDKL3,Q8IVW4,1,"Nucleoplasm, Vesicles",,Uncertain
CDKL4,Q5MAI5,1,,,
CDKL5,O76039,1,Nucleoplasm,,Supported
CDKN1A,P38936,1,"Nucleoplasm, Nuclear bodies",,Supported
CDKN1B,P46527,1,Nucleoplasm,Vesicles,Supported
CDKN1C,P49918,1,"Nucleoplasm, Nuclear bodies",Cytosol,Approved
CDKN2A,"P42771,Q8N726",2,Nucleoplasm,Cytosol,Supported
CDKN2AIP,Q9NXV6,1,Nucleoplasm,,Enhanced
CDKN2AIPNL,Q96HQ2,1,,,
CDKN2B,P42772,1,Nucleoplasm,Cytosol,Approved
CDKN2C,P42773,1,"Nucleoplasm, Cytosol",,Approved
CDKN2D,P55273,1,Nucleoplasm,Cytosol,Supported
CDKN3,Q16667,1,Cytosol,,Enhanced
CDNF,Q49AH0,1,,,
CDO1,Q16878,1,Nucleoplasm,Cytosol,Uncertain
CDON,Q4KMG0,1,,,
CDPF1,Q6NVV7,1,Cytosol,Nucleoplasm,Approved
CDR1,P51861,1,"Golgi apparatus, Centrosome",Nucleoplasm,Approved
CDR2,Q01850,1,Nucleoplasm,,Approved
CDR2L,Q86X02,1,Cytosol,,Approved
CDRT1,O95170,1,"Nucleoplasm, Nucleoli",,Approved
CDRT15,Q96T59,1,Plasma membrane,,Approved
CDRT15L2,A8MXV6,1,,,
CDRT4,Q8N9R6,1,Mitochondria,,Approved
CDS1,Q92903,1,,,
CDS2,O95674,1,Endoplasmic reticulum,,Approved
CDSN,,0,,,
CDT1,Q9H211,1,Nucleoplasm,Nuclear bodies,Supported
CDV3,Q9UKY7,1,Cytosol,"Nucleoli, Plasma membrane",Approved
CDX1,P47902,1,,,
CDX2,Q99626,1,Nucleoplasm,,Enhanced
CDX4,O14627,1,"Nucleoplasm, Nuclear speckles",Cytosol,Approved
CDY1,Q9Y6F8,1,,,
CDY1B,Q9Y6F8,1,,,
CDY2A,Q9Y6F7,1,,,
CDY2B,Q9Y6F7,1,,,
CDYL,Q9Y232,1,Nuclear speckles,,Supported
CDYL2,Q8N8U2,1,,,
CEACAM1,P13688,1,,,
CEACAM16,Q2WEN9,1,,,
CEACAM18,A8MTB9,1,Midbody,,Approved
CEACAM19,Q7Z692,1,"Nucleoli, Mitochondria",Nucleoplasm,Approved
CEACAM20,Q6UY09,1,,,
CEACAM21,Q3KPI0,1,,,
CEACAM3,P40198,1,,,
CEACAM4,O75871,1,,,
CEACAM5,P06731,1,Plasma membrane,,Supported
CEACAM6,P40199,1,,,
CEACAM7,Q14002,1,Plasma membrane,Cytosol,Supported
CEACAM8,P31997,1,,,
CEBPA,P49715,1,Nucleoplasm,Vesicles,Approved
CEBPB,P17676,1,Nucleoplasm,,Enhanced
CEBPD,P49716,1,Nucleoplasm,,Approved
CEBPE,Q15744,1,Nucleoplasm,"Plasma membrane, Cytosol",Supported
CEBPG,P53567,1,Nucleoplasm,,Supported
CEBPZ,Q03701,1,Vesicles,Nucleoplasm,Approved
CEBPZOS,A8MTT3,1,Nucleoplasm,,Approved
CECR2,Q9BXF3,1,Nucleoplasm,Vesicles,Approved
CEL,P19835,1,,,
CELA1,Q9UNI1,1,,,
CELA2A,P08217,1,,,
CELA2B,P08218,1,,,
CELA3A,P09093,1,Cytosol,,Approved
CELA3B,P08861,1,Cytosol,,Approved
CELF1,Q92879,1,Nucleoplasm,,Enhanced
CELF2,O95319,1,Nucleoplasm,"Vesicles, Midbody ring",Supported
CELF3,Q5SZQ8,1,Nucleoplasm,,Approved
CELF4,Q9BZC1,1,Nucleoplasm,,Supported
CELF5,Q8N6W0,1,,,
CELF6,Q96J87,1,,,
CELSR1,Q9NYQ6,1,Plasma membrane,Nucleoplasm,Enhanced
CELSR2,Q9HCU4,1,Cytosol,,Approved
CELSR3,Q9NYQ7,1,,,
CEMIP,Q8WUJ3,1,Nucleoli fibrillar center,"Nuclear membrane, Endoplasmic reticulum",Supported
CEMIP2,Q9UHN6,1,Plasma membrane,"Vesicles, Cytosol",Supported
CEMP1,Q6PRD7,1,Nucleoplasm,,Approved
CENATAC,Q86UT8,1,Nucleoplasm,,Approved
CEND1,Q8N111,1,Mitochondria,,Approved
CENPA,P49450,1,Nucleoplasm,,Supported
CENPB,P07199,1,Nuclear bodies,Nucleoplasm,Enhanced
CENPC,Q03188,1,"Nuclear bodies, Kinetochore","Nucleoplasm, Midbody",Supported
CENPE,Q02224,1,Microtubules,"Cytokinetic bridge, Mitotic spindle",Enhanced
CENPF,P49454,1,Nucleoplasm,"Nuclear membrane, Cytosol",Supported
CENPH,Q9H3R5,1,"Nucleoplasm, Nucleoli rim",Mitotic chromosome,Supported
CENPI,Q92674,1,Nuclear bodies,Cytosol,Supported
CENPJ,Q9HC77,1,Centrosome,,Supported
CENPK,Q9BS16,1,,,
CENPL,Q8N0S6,1,,,
CENPM,Q9NSP4,1,,,
CENPN,Q96H22,1,Nucleoplasm,,Supported
CENPO,Q9BU64,1,Nucleoplasm,Nuclear bodies,Supported
CENPP,Q6IPU0,1,Nucleoplasm,Nucleoli,Supported
CENPQ,Q7L2Z9,1,Nucleoplasm,,Supported
CENPS,Q8N2Z9,1,,,
CENPS-CORT,,0,,,
CENPT,Q96BT3,1,Nuclear bodies,Nucleoplasm,Supported
CENPU,Q71F23,1,"Nucleoplasm, Centriolar satellite",,Supported
CENPV,Q7Z7K6,1,Nucleoplasm,"Midbody, Cytosol",Approved
CENPVL1,A0A0U1RR11,1,,,
CENPVL2,P0DPI3,1,,,
CENPVL3,A0A0U1RRI6,1,,,
CENPW,Q5EE01,1,Nucleoplasm,,Supported
CENPX,A8MT69,1,,,
CEP104,O60308,1,,,
CEP112,Q8N8E3,1,"Nucleoplasm, Centrosome","Midbody ring, Cytosol",Approved
CEP120,Q8N960,1,,,
CEP126,Q9P2H0,1,"Nucleoplasm, Cytosol",,Uncertain
CEP128,Q6ZU80,1,Centrosome,,Supported
CEP131,Q9UPN4,1,Centriolar satellite,"Nucleoplasm, Nuclear membrane",Supported
CEP135,Q66GS9,1,,,
CEP152,O94986,1,Centrosome,,Supported
CEP162,Q5TB80,1,"Nucleoplasm, Cytosol",Centriolar satellite,Approved
CEP164,Q9UPV0,1,Centrosome,"Nucleoplasm, Vesicles",Supported
CEP170,Q5SW79,1,Centrosome,Cytosol,Enhanced
CEP170B,Q9Y4F5,1,"Microtubule ends, Centrosome",Cytosol,Approved
CEP19,Q96LK0,1,Centrosome,Nucleoplasm,Supported
CEP192,Q8TEP8,1,"Centrosome, Cytosol",,Approved
CEP20,Q96NB1,1,Centrosome,,Supported
CEP250,Q9BV73,1,Centrosome,,Supported
CEP290,O15078,1,Centrosome,,Supported
CEP295,Q9C0D2,1,"Plasma membrane, Cytosol",,Enhanced
CEP295NL,Q96MC4,1,Vesicles,,Approved
CEP350,Q5VT06,1,Centrosome,,Enhanced
CEP41,Q9BYV8,1,,,
CEP43,O95684,1,Centrosome,,Supported
CEP44,Q9C0F1,1,,,
CEP55,Q53EZ4,1,"Plasma membrane, Centriolar satellite",Midbody,Approved
CEP57,Q86XR8,1,"Centrosome, Cytosol",Centriolar satellite,Supported
CEP57L1,Q8IYX8,1,"Plasma membrane, Cytosol",,Approved
CEP63,Q96MT8,1,"Plasma membrane, Centriolar satellite, Centrosome",,Supported
CEP68,Q76N32,1,"Nucleoplasm, Centriolar satellite",,Supported
CEP70,Q8NHQ1,1,"Nucleoplasm, Cytosol",Centrosome,Approved
CEP72,Q9P209,1,Centrosome,Cytosol,Supported
CEP76,Q8TAP6,1,,,
CEP78,Q5JTW2,1,,,
CEP83,Q9Y592,1,,,
CEP85,Q6P2H3,1,"Nucleoli, Golgi apparatus","Centrosome, Cytosol",Approved
CEP85L,Q5SZL2,1,,,
CEP89,Q96ST8,1,Cytosol,,Supported
CEP95,Q96GE4,1,Cytosol,Centriolar satellite,Uncertain
CEP97,Q8IW35,1,"Centriolar satellite, Centrosome",Cytosol,Supported
CEPT1,Q9Y6K0,1,,,
CER1,O95813,1,,,
CERCAM,Q5T4B2,1,"Nucleoplasm, Nucleoli",Cell Junctions,Approved
CERK,Q8TCT0,1,Vesicles,,Approved
CERKL,Q49MI3,1,"Nucleoplasm, Cytosol",,Approved
CERS1,P27544,1,Endoplasmic reticulum,,Approved
CERS2,Q96G23,1,"Nuclear membrane, Endoplasmic reticulum",,Supported
CERS3,Q8IU89,1,Nucleoplasm,,Supported
CERS4,Q9HA82,1,"Nucleoplasm, Vesicles",,Supported
CERS5,Q8N5B7,1,"Nuclear membrane, Endoplasmic reticulum",,Approved
CERS6,Q6ZMG9,1,,,
CERT1,Q9Y5P4,1,Golgi apparatus,Nucleoplasm,Enhanced
CES1,P23141,1,Endoplasmic reticulum,,Supported
CES2,O00748,1,Golgi apparatus,"Endoplasmic reticulum, Cytosol",Approved
CES3,Q6UWW8,1,"Nuclear membrane, Endoplasmic reticulum",,Approved
CES4A,Q5XG92,1,Cytosol,,Approved
CES5A,Q6NT32,1,,,
CETN1,Q12798,1,"Nucleoplasm, Cytosol",Centrosome,Uncertain
CETN2,P41208,1,Centrosome,"Nucleoplasm, Cytosol",Supported
CETN3,O15182,1,Centrosome,,Supported
CETP,P11597,1,,,
CFAP100,Q494V2,1,,,
CFAP126,Q5VTH2,1,,,
CFAP157,Q5JU67,1,"Plasma membrane, Cytosol",,Enhanced
CFAP161,Q6P656,1,,,
CFAP20,Q9Y6A4,1,Nucleoplasm,,Supported
CFAP206,Q8IYR0,1,Nucleoplasm,Cell Junctions,Approved
CFAP20DC,Q6ZVT6,1,Golgi apparatus,,Approved
CFAP221,Q4G0U5,1,,,
CFAP251,Q8TBY9,1,"Plasma membrane, Cytosol",,Approved
CFAP298,P57076,1,Cytosol,Microtubules,Approved
CFAP298-TCP10L,,0,Cytosol,Microtubules,Approved
CFAP299,Q6V702,1,"Plasma membrane, Cytosol",,Approved
CFAP300,Q9BRQ4,1,Centrosome,,Approved
CFAP36,Q96G28,1,"Nucleoplasm, Nucleoli fibrillar center, Nuclear bodies",,Approved
CFAP410,O43822,1,Mitochondria,"Vesicles, Cytosol",Supported
CFAP43,Q8NDM7,1,,,
CFAP44,Q96MT7,1,,,
CFAP45,Q9UL16,1,Nucleoplasm,,Enhanced
CFAP46,Q8IYW2,1,,,
CFAP47,Q6ZTR5,1,,,
CFAP52,Q8N1V2,1,Centrosome,Microtubules,Approved
CFAP53,Q96M91,1,Midbody,,Approved
CFAP54,Q96N23,1,Microtubules,Cytosol,Approved
CFAP57,Q96MR6,1,Cytosol,,Approved
CFAP58,Q5T655,1,Vesicles,"Plasma membrane, Cytosol",Approved
CFAP61,Q8NHU2,1,,,
CFAP65,Q6ZU64,1,"Plasma membrane, Cytosol",,Approved
CFAP69,A5D8W1,1,,,
CFAP70,Q5T0N1,1,,,
CFAP73,A6NFT4,1,Nucleoli fibrillar center,"Nucleoplasm, Vesicles",Approved
CFAP74,Q9C0B2,1,,,
CFAP77,Q6ZQR2,1,Cytosol,,Approved
CFAP91,Q7Z4T9,1,,,
CFAP92,Q9ULG3,1,,,
CFAP94,Q6TDU7,1,Cytosol,Vesicles,Approved
CFAP97,Q9P2B7,1,Nucleoli fibrillar center,,Approved
CFAP97D1,B2RV13,1,Plasma membrane,,Uncertain
CFAP97D2,A0A1B0GU71,1,,,
CFAP99,,0,"Microtubules, Cytokinetic bridge, Mitotic spindle",,Approved
CFB,P00751,1,"Endoplasmic reticulum, Vesicles",Cell Junctions,Approved
CFC1,P0CG37,1,,,
CFC1B,P0CG36,1,,,
CFD,P00746,1,,,
CFDP1,Q9UEE9,1,Nucleoplasm,Vesicles,Approved
CFH,P08603,1,Vesicles,,Approved
CFHR1,Q03591,1,Vesicles,,Approved
CFHR2,P36980,1,,,
CFHR3,Q02985,1,,,
CFHR4,Q92496,1,,,
CFHR5,Q9BXR6,1,,,
CFI,P05156,1,,,
CFL1,P23528,1,Plasma membrane,,Supported
CFL2,Q9Y281,1,Plasma membrane,"Nucleoplasm, Cytosol",Approved
CFLAR,O15519,1,"Nucleoplasm, Plasma membrane, Cytosol",Nuclear bodies,Supported
CFP,P27918,1,Vesicles,,Approved
CFTR,P13569,1,,,
CGA,P01215,1,,,
CGAS,Q8N884,1,Nucleoplasm,"Nuclear bodies, Cytosol",Supported
CGB1,A6NKQ9,1,,,
CGB2,Q6NT52,1,,,
CGB3,P0DN86,1,,,
CGB5,P0DN86,1,,,
CGB7,P0DN87,1,,,
CGB8,P0DN86,1,,,
CGGBP1,Q9UFW8,1,Nucleoplasm,,Enhanced
CGN,Q9P2M7,1,"Plasma membrane, Cell Junctions",,Supported
CGNL1,Q0VF96,1,Cell Junctions,Nuclear bodies,Supported
CGREF1,Q99674,1,Golgi apparatus,,Approved
CGRRF1,Q99675,1,Nucleoplasm,Vesicles,Supported
CH25H,O95992,1,,,
CHAC1,Q9BUX1,1,Mitochondria,,Approved
CHAC2,Q8WUX2,1,Cytosol,,Approved
CHAD,O15335,1,,,
CHADL,Q6NUI6,1,,,
CHAF1A,Q13111,1,Nucleoplasm,Cytosol,Supported
CHAF1B,Q13112,1,Nucleoplasm,,Supported
CHAMP1,Q96JM3,1,Nucleoplasm,Nuclear bodies,Enhanced
CHAT,P28329,1,,,
CHCHD1,Q96BP2,1,"Nucleoplasm, Mitochondria","Nucleoli fibrillar center, Cytosol",Supported
CHCHD10,Q8WYQ3,1,Mitochondria,,Supported
CHCHD2,Q9Y6H1,1,Mitochondria,,Supported
CHCHD3,Q9NX63,1,Mitochondria,,Supported
CHCHD4,Q8N4Q1,1,Mitochondria,,Supported
CHCHD5,Q9BSY4,1,Mitochondria,,Approved
CHCHD6,Q9BRQ6,1,Mitochondria,,Supported
CHCHD7,Q9BUK0,1,Cell Junctions,Aggresome,Approved
CHD1,O14646,1,"Nucleoplasm, Nucleoli fibrillar center",,Approved
CHD1L,Q86WJ1,1,Nucleoplasm,,Supported
CHD2,O14647,1,Nucleoplasm,,Enhanced
CHD3,Q12873,1,"Nucleoplasm, Nucleoli",Centriolar satellite,Supported
CHD4,Q14839,1,Nucleoplasm,,Enhanced
CHD5,Q8TDI0,1,"Nucleoplasm, Nuclear speckles",Cytosol,Supported
CHD6,Q8TD26,1,Nucleoplasm,,Supported
CHD7,Q9P2D1,1,Nucleoplasm,Nucleoli,Supported
CHD8,Q9HCK8,1,Nucleoplasm,,Enhanced
CHD9,Q3L8U1,1,Nucleoplasm,Cytosol,Supported
CHDH,Q8NE62,1,,,
CHEK1,O14757,1,Nucleoplasm,Vesicles,Supported
CHEK2,O96017,1,Nucleoplasm,Golgi apparatus,Supported
CHERP,Q8IWX8,1,,,
CHFR,Q96EP1,1,"Nuclear bodies, Microtubules",,Uncertain
CHGA,P10645,1,Vesicles,,Supported
CHGB,P05060,1,Vesicles,,Enhanced
CHI3L1,P36222,1,Golgi apparatus,Vesicles,Approved
CHI3L2,Q15782,1,,,
CHIA,Q9BZP6,1,,,
CHIC1,Q5VXU3,1,"Nuclear speckles, Vesicles",Cytosol,Approved
CHIC2,Q9UKJ5,1,"Vesicles, Plasma membrane",,Enhanced
CHID1,Q9BWS9,1,"Nucleoplasm, Intermediate filaments",,Uncertain
CHIT1,Q13231,1,,,
CHKA,P35790,1,Endoplasmic reticulum,,Approved
CHKB,Q9Y259,1,Cytosol,,Approved
CHL1,O00533,1,,,
CHM,P24386,1,Nucleoplasm,Cytosol,Approved
CHML,P26374,1,"Nucleoplasm, Cytosol",,Supported
CHMP1A,Q9HD42,1,"Nucleoplasm, Centrosome, Cytosol",,Supported
CHMP1B,Q7LBR1,1,"Nucleoplasm, Midbody",,Approved
CHMP2A,O43633,1,Cytosol,"Nucleoplasm, Plasma membrane",Approved
CHMP2B,Q9UQN3,1,Cytosol,,Approved
CHMP3,Q9Y3E7,1,,,
CHMP4A,Q9BY43,1,,,
CHMP4B,Q9H444,1,,,
CHMP4C,Q96CF2,1,"Microtubules, Cytokinetic bridge",,Approved
CHMP5,Q9NZZ3,1,"Microtubules, Cytosol",Midbody,Supported
CHMP6,Q96FZ7,1,,,
CHMP7,Q8WUX9,1,Nucleoplasm,Cytosol,Supported
CHN1,P15882,1,Cytosol,,Approved
CHN2,P52757,1,Nucleoplasm,Nuclear bodies,Approved
CHODL,Q9H9P2,1,Cytosol,Centrosome,Approved
CHORDC1,Q9UHD1,1,Cytosol,,Approved
CHP1,Q99653,1,Vesicles,,Approved
CHP2,O43745,1,Nucleoplasm,"Nucleoli, Cytosol",Supported
CHPF,Q8IZ52,1,Cytosol,"Vesicles, Centrosome",Supported
CHPF2,Q9P2E5,1,"Nucleoplasm, Cytosol",,Approved
CHPT1,Q8WUD6,1,Vesicles,,Supported
CHRAC1,Q9NRG0,1,Nucleoplasm,,Approved
CHRD,Q9H2X0,1,,,
CHRDL1,Q9BU40,1,,,
CHRDL2,Q6WN34,1,Vesicles,,Approved
CHRFAM7A,Q494W8,1,,,
CHRM1,P11229,1,,,
CHRM2,P08172,1,,,
CHRM3,P20309,1,Plasma membrane,,Supported
CHRM4,P08173,1,Golgi apparatus,Nucleoplasm,Uncertain
CHRM5,P08912,1,,,
CHRNA1,P02708,1,Plasma membrane,,Supported
CHRNA10,Q9GZZ6,1,,,
CHRNA2,Q15822,1,Plasma membrane,"Nucleoplasm, Cytokinetic bridge",Supported
CHRNA3,P32297,1,Plasma membrane,Nuclear speckles,Supported
CHRNA4,P43681,1,,,
CHRNA5,P30532,1,Focal adhesion sites,Plasma membrane,Approved
CHRNA6,Q15825,1,,,
CHRNA7,P36544,1,,,
CHRNA9,Q9UGM1,1,,,
CHRNB1,P11230,1,,,
CHRNB2,P17787,1,,,
CHRNB3,Q05901,1,,,
CHRNB4,P30926,1,Endoplasmic reticulum,Cell Junctions,Approved
CHRND,Q07001,1,Plasma membrane,"Nucleoplasm, Cytosol",Supported
CHRNE,Q04844,1,,,
CHRNG,P07510,1,,,
CHST1,O43916,1,,,
CHST10,O43529,1,Cytosol,,Approved
CHST11,Q9NPF2,1,Golgi apparatus,,Approved
CHST12,Q9NRB3,1,Golgi apparatus,,Approved
