fold_index,accession,job_id,analysis_id,span_aa,wall_seconds,free_mib_before,requirement_mib,peak_allocated_mib,peak_reserved_mib,emitted_pae,served_structure_bytes,served_pae,verdict,at
1,A6NDH6,4917,4918,31,18.3,7043,6357,5383,5502,True,19644,True,ok,2026-09-14T15:34:49
2,A6NHG9,4918,4919,31,19.18,7043,6357,5383,5500,True,20616,True,ok,2026-09-14T15:35:09
3,A6NKK0,4919,4920,31,19.77,7043,6357,5383,5502,True,19644,True,ok,2026-09-14T15:35:30
4,P08173,4920,4921,31,19.7,7043,6357,5383,5500,True,19077,True,ok,2026-09-14T15:35:51
5,P0C628,4921,4922,31,19.72,7043,6357,5383,5500,True,21183,True,ok,2026-09-14T15:36:12
6,P25103,4922,4923,31,20.02,7043,6357,5383,5500,True,19563,True,ok,2026-09-14T15:36:33
7,P32249,4923,4924,31,19.32,7043,6357,5383,5502,True,19158,True,ok,2026-09-14T15:36:53
8,P43088,4924,4925,31,19.54,7043,6357,5383,5500,True,18753,True,ok,2026-09-14T15:37:14
9,P46094,4925,4926,31,19.13,7043,6357,5383,5500,True,20373,True,ok,2026-09-14T15:37:34
10,P49019,4926,4927,31,19.05,7043,6357,5383,5500,True,20616,True,ok,2026-09-14T15:37:54
11,P49238,4927,4928,31,19.81,7043,6357,5383,5500,True,19968,True,ok,2026-09-14T15:38:15
12,P59540,4928,4929,31,20.36,7043,6357,5383,5502,True,21264,True,ok,2026-09-14T15:38:36
13,P59541,4929,4930,31,21.03,7043,6357,5383,5502,True,21264,True,ok,2026-09-14T15:38:58
14,P98196,4930,4931,31,20.52,7043,6357,5383,5500,True,22479,True,ok,2026-09-14T15:39:20
15,Q13639,4931,4932,31,19.76,7043,6357,5383,5502,True,20697,True,ok,2026-09-14T15:39:41
16,Q6TCH4,4932,4933,31,20.08,7043,6357,5383,5500,True,17700,True,ok,2026-09-14T15:40:02
17,Q6UXU6,4933,4934,31,19.6,7043,6357,5383,5500,True,18348,True,ok,2026-09-14T15:40:23
18,Q7Z602,4934,4935,31,19.57,7043,6357,5383,5502,True,22560,True,ok,2026-09-14T15:40:43
19,Q8IVQ6,4935,4936,31,19.79,7043,6357,5383,5502,True,22317,True,ok,2026-09-14T15:41:04
20,Q8N609,4936,4937,31,19.95,7043,6357,5383,5500,True,18915,True,ok,2026-09-14T15:41:25
21,Q8N6M3,4937,4938,31,19.78,7043,6357,5383,5500,True,19806,True,ok,2026-09-14T15:41:46
22,Q8NHB1,4938,4939,31,19.64,7043,6357,5383,5502,True,20292,True,ok,2026-09-14T15:42:07
23,Q8TCT9,4939,4940,31,19.82,7043,6357,5383,5500,True,17133,True,ok,2026-09-14T15:42:27
24,Q8WWT9,4940,4941,31,19.15,7043,6357,5383,5500,True,19725,True,ok,2026-09-14T15:42:48
25,Q969N4,4941,4942,31,19.56,7043,6357,5383,5500,True,19158,True,ok,2026-09-14T15:43:08
26,Q96KK3,4942,4943,31,19.25,7043,6357,5383,5500,True,18024,True,ok,2026-09-14T15:43:28
27,Q96LB0,4943,4944,31,19.15,7043,6357,5383,5502,True,19401,True,ok,2026-09-14T15:43:49
28,Q99946,4944,4945,31,19.42,7043,6357,5383,5502,True,19158,True,ok,2026-09-14T15:44:09
29,Q9BSE2,4945,4946,31,19.59,7043,6357,5383,5500,True,20859,True,ok,2026-09-14T15:44:30
30,Q9BXC0,4946,4947,31,19.53,7043,6357,5383,5502,True,20049,True,ok,2026-09-14T15:44:50
31,Q9BZD2,4947,4948,31,20.32,7043,6357,5383,5500,True,20535,True,ok,2026-09-14T15:45:12
32,Q9H342,4948,4949,31,21.17,7043,6357,5383,5500,True,19482,True,ok,2026-09-14T15:45:34
33,Q9HA82,4949,4950,31,20.87,7043,6357,5383,5500,True,22803,True,ok,2026-09-14T15:45:56
34,Q9UBY5,4950,4951,31,20.96,7043,6357,5383,5502,True,21426,True,ok,2026-09-14T15:46:18
35,Q9Y271,4951,4952,31,20.84,7043,6357,5383,5500,True,20778,True,ok,2026-09-14T15:46:40
36,Q9Y6H8,4952,4953,31,20.89,7043,6357,5383,5502,True,19887,True,ok,2026-09-14T15:47:02
37,A6NET4,4953,4954,32,21.08,7043,6357,5384,5502,True,21669,True,ok,2026-09-14T15:47:24
38,A6NIJ9,4954,4955,32,21.08,7043,6357,5384,5502,True,20292,True,ok,2026-09-14T15:47:46
39,A6NJZ3,4955,4956,32,21.21,7043,6357,5384,5502,True,20211,True,ok,2026-09-14T15:48:09
40,A6NM76,4956,4957,32,21.3,7043,6357,5384,5502,True,19725,True,ok,2026-09-14T15:48:31
41,O00574,4957,4958,32,21.55,7043,6357,5384,5502,True,22074,True,ok,2026-09-14T15:48:53
42,P0C629,4958,4959,32,20.6,7043,6357,5384,5502,True,20616,True,ok,2026-09-14T15:49:15
43,P11169,4959,4960,32,20.9,7043,6357,5384,5502,True,20211,True,ok,2026-09-14T15:49:37
44,P17302,4960,4961,32,22.18,7043,6357,5384,5502,True,20940,True,ok,2026-09-14T15:50:00
45,P21452,4961,4962,32,21.67,7043,6357,5384,5502,True,18672,True,ok,2026-09-14T15:50:23
46,P35462,4962,4963,32,19.84,7043,6357,5384,5502,True,19158,True,ok,2026-09-14T15:50:44
47,P41231,4963,4964,32,20.09,7043,6357,5384,5502,True,21102,True,ok,2026-09-14T15:51:05
48,P51681,4964,4965,32,19.0,7043,6357,5384,5502,True,22722,True,ok,2026-09-14T15:51:25
